,0
0001,-7.09227
0002,-6.5439
0003,-6.60544
0004,-6.43674
0005,-7.02781
0006,-6.62198
0007,-6.9213
0008,-6.7147
0009,-6.80254
0010,-6.5279
0011,-6.86642
0012,-7.48466
0013,-7.13013
0014,-6.79084
0015,-6.9312
0016,-7.04402
0017,-7.11483
0018,-6.35899
0019,-6.63618
0020,-6.28552
0021,-6.59585
0022,-7.5195
0023,-7.09844
0024,-6.9778
0025,-6.81209
0026,-6.34852
0027,-6.79894
0028,-7.18209
0029,-6.01195
0030,-6.39498
0031,-5.78312
0032,-6.63797
0033,-6.83883
0034,-6.3996
0035,-6.42813
0036,-6.61343
0037,-6.875
0038,-6.39954
0039,-6.20035
0040,-6.48523
0041,-6.73678
0042,-6.28241
0043,-6.96142
0044,-7.04961
0045,-7.27809
0046,-6.59319
0047,-6.80791
0048,-6.3271
0049,-6.98757
0050,-7.28717
0051,-7.24175
0052,-6.79385
0053,-6.60174
0054,-7.11242
0055,-7.34639
0056,-7.11296
0057,-7.20882
0058,-6.51576
0059,-6.19991
0060,-7.31312
0061,-6.86945
0062,-7.01742
0063,-7.27853
0064,-6.2233
0065,-6.44412
0066,-6.90598
0067,-7.34815
0068,-6.65686
0069,-6.46571
0070,-6.67349
0071,-7.78403
0072,-7.28747
0073,-7.86817
0074,-6.65303
0075,-7.26376
0076,-6.8481
0077,-7.47892
0078,-7.21931
0079,-7.3085
0080,-7.29368
0081,-6.99223
0082,-6.6026
0083,-7.78412
0084,-7.99539
0085,-7.86707
0086,-8.58397
0087,-8.34267
0088,-7.48305
0089,-6.72652
0090,-6.35064
0091,-7.55124
0092,-6.83406
0093,-7.91957
0094,-7.27421
0095,-6.88098
0096,-6.82811
0097,-7.55971
0098,-7.53372
0099,-7.40411
0100,-7.06039
0101,-7.64513
0102,-7.48995
0103,-7.79744
0104,-7.49089
0105,-6.81212
0106,-7.69431
0107,-7.32439
0108,-7.52957
0109,-8.14515
0110,-7.10242
0111,-7.75075
0112,-7.06461
0113,-6.99634
0114,-7.04502
0115,-7.61583
0116,-7.03313
0117,-7.05888
0118,-7.4743
0119,-7.00558
0120,-7.16737
0121,-6.43691
0122,-7.42777
0123,-7.11849
0124,-8.14945
0125,-7.84482
0126,-7.95078
0127,-7.46269
0128,-7.7473
0129,-7.45544
0130,-7.05043
0131,-6.70985
0132,-7.32635
0133,-7.65493
0134,-7.6613
0135,-6.89583
0136,-7.51732
0137,-7.30254
0138,-7.40133
0139,-6.96995
0140,-6.6028
0141,-7.10803
0142,-7.53198
0143,-7.93184
0144,-8.27651
0145,-6.95583
0146,-8.02702
0147,-7.0048
0148,-7.66046
0149,-7.74793
0150,-7.54262
0151,-6.61933
0152,-6.91496
0153,-7.62988
0154,-7.26879
0155,-7.35921
0156,-7.49667
0157,-7.05374
0158,-7.58755
0159,-7.87392
0160,-7.11419
0161,-7.1937
0162,-6.48779
0163,-6.95348
0164,-7.12848
0165,-7.23632
0166,-7.32584
0167,-8.01133
0168,-7.49596
0169,-7.13498
0170,-7.74174
0171,-6.95789
0172,-7.37907
0173,-6.93292
0174,-6.99314
0175,-7.05553
0176,-7.62193
0177,-7.64393
0178,-8.10509
0179,-7.23468
0180,-7.64898
0181,-8.05573
0182,-8.11998
0183,-6.97249
0184,-6.86194
0185,-7.0098
0186,-6.89719
0187,-8.04936
0188,-7.38039
0189,-7.2976
0190,-7.94099
0191,-7.91572
0192,-6.86699
0193,-6.56626
0194,-7.10551
0195,-7.63855
0196,-7.31115
0197,-7.18501
0198,-7.80249
0199,-5.96532
0200,-8.17691
0201,-7.00466
0202,-6.61672
0203,-6.94825
0204,-7.05666
0205,-7.63895
0206,-6.50423
0207,-6.78758
0208,-7.36736
0209,-7.29509
0210,-7.35602
0211,-7.15386
0212,-7.5236
0213,-7.38171
0214,-6.88072
0215,-7.68462
0216,-6.50997
0217,-7.05998
0218,-7.60867
0219,-6.51235
0220,-6.43436
0221,-7.15032
0222,-7.19245
0223,-7.2809
0224,-6.63249
0225,-6.64436
0226,-7.63101
0227,-7.73401
0228,-7.36028
0229,-7.37594
0230,-7.6604
0231,-7.88758
0232,-7.49115
0233,-7.58148
0234,-7.1725
0235,-7.7805
0236,-6.69912
0237,-7.64183
0238,-6.99959
0239,-7.72906
0240,-8.20739
0241,-6.8126
0242,-6.74567
0243,-7.78392
0244,-7.40411
0245,-7.07476
0246,-7.96362
0247,-7.63805
0248,-7.35899
0249,-7.60686
0250,-7.09653
0251,-7.6232
0252,-8.02618
0253,-7.76405
0254,-6.74463
0255,-7.22438
0256,-6.78445
0257,-6.01782
0258,-6.12058
0259,-6.35005
0260,-6.71203
0261,-6.69864
0262,-6.17991
0263,-7.1881
0264,-7.36306
0265,-7.30069
0266,-6.55299
0267,-7.02334
0268,-7.56391
0269,-7.07219
0270,-7.30585
0271,-7.37297
0272,-7.35483
0273,-6.01081
0274,-7.28525
0275,-6.80078
0276,-6.87649
0277,-7.75793
0278,-6.65353
0279,-6.65302
0280,-7.0759
0281,-6.91444
0282,-7.38802
0283,-7.50742
0284,-7.58001
0285,-7.06086
0286,-6.88616
0287,-7.15572
0288,-7.4438
0289,-6.62739
0290,-6.81015
0291,-7.39377
0292,-7.51162
0293,-7.09341
0294,-7.24447
0295,-7.50623
0296,-7.49197
0297,-7.6973
0298,-6.72197
0299,-7.88284
0300,-7.11676
0301,-8.12031
0302,-7.0054
0303,-7.24105
0304,-7.5397
0305,-7.54931
0306,-7.7908
0307,-7.3395
0308,-7.4379
0309,-8.0474
0310,-7.80719
0311,-6.85714
0312,-7.44212
0313,-7.46545
0314,-7.67739
0315,-7.82762
0316,-7.0181
0317,-7.45819
0318,-7.59402
0319,-7.89587
0320,-7.15228
0321,-7.8078
0322,-8.58523
0323,-7.38117
0324,-7.72186
0325,-8.39198
0326,-7.16112
0327,-8.57833
0328,-6.55625
0329,-7.70682
0330,-8.04787
0331,-7.55023
0332,-7.4087
0333,-6.63705
0334,-7.28937
0335,-7.34402
0336,-7.42829
0337,-7.68295
0338,-7.0917
0339,-6.74374
0340,-7.02643
0341,-7.60064
0342,-7.15392
0343,-7.42127
0344,-7.11254
0345,-7.8656
0346,-7.3077
0347,-7.14015
0348,-7.01237
0349,-7.08315
0350,-7.30809
0351,-7.63893
0352,-7.01359
0353,-6.90902
0354,-7.35934
0355,-7.85931
0356,-7.00098
0357,-7.85908
0358,-7.24236
0359,-7.02615
0360,-7.8368
0361,-7.98632
0362,-7.5642
0363,-7.59243
0364,-7.71122
0365,-8.68491
0366,-8.08324
0367,-7.46643
0368,-7.79762
0369,-8.3044
0370,-7.11899
0371,-8.29228
0372,-8.63735
0373,-8.29004
0374,-8.0861
0375,-7.75925
0376,-7.78094
0377,-7.05741
0378,-7.22535
0379,-7.72311
0380,-7.26629
0381,-7.67416
0382,-7.57091
0383,-7.66857
0384,-7.3964
0385,-7.29794
0386,-7.51791
0387,-7.43246
0388,-7.95142
0389,-7.37055
0390,-8.27283
0391,-7.38241
0392,-7.34235
0393,-7.87931
0394,-8.8796
0395,-7.78952
0396,-8.26428
0397,-8.083
0398,-7.579
0399,-7.44329
0400,-8.22235
0401,-7.71312
0402,-7.40323
0403,-7.59731
0404,-7.37448
0405,-6.60981
0406,-7.22334
0407,-7.30491
0408,-7.52775
0409,-7.16542
0410,-7.7306
0411,-8.03757
0412,-7.7415
0413,-7.86741
0414,-8.06514
0415,-7.2944
0416,-8.1773
0417,-8.0563
0418,-8.03564
0419,-6.03313
0420,-7.49475
0421,-7.87247
0422,-7.45681
0423,-7.08028
0424,-8.42779
0425,-7.55464
0426,-8.59722
0427,-7.97063
0428,-7.83891
0429,-5.67945
0430,-7.35605
0431,-6.81297
0432,-7.21048
0433,-7.21196
0434,-7.06282
0435,-6.98835
0436,-7.66245
0437,-7.05165
0438,-7.83563
0439,-7.47035
0440,-7.30962
0441,-8.15167
0442,-8.16574
0443,-7.0829
0444,-7.53799
0445,-7.03753
0446,-7.57245
0447,-7.93193
0448,-8.40168
0449,-7.72337
0450,-7.47664
0451,-8.01655
0452,-7.71368
0453,-7.19881
0454,-7.15297
0455,-7.1313
0456,-7.14005
0457,-8.02383
0458,-7.71439
0459,-7.0602
0460,-8.49133
0461,-7.09725
0462,-7.61669
0463,-7.16758
0464,-8.13139
0465,-8.0257
0466,-8.11875
0467,-7.95496
0468,-7.68146
0469,-8.47014
0470,-8.22385
0471,-8.77368
0472,-8.30271
0473,-7.85098
0474,-7.93903
0475,-7.41856
0476,-6.8527
0477,-7.70354
0478,-7.57869
0479,-8.13682
