,0
0001,-9.4721
0002,-9.05271
0003,-9.17275
0004,-9.48041
0005,-9.8607
0006,-9.46739
0007,-8.47892
0008,-10.02062
0009,-9.05725
0010,-9.28307
0011,-9.32323
0012,-9.85891
0013,-9.05011
0014,-8.31168
0015,-9.18417
0016,-9.22207
0017,-9.1869
0018,-8.7517
0019,-9.57283
0020,-9.1156
0021,-9.77856
0022,-9.33625
0023,-9.16528
0024,-8.84629
0025,-8.33323
0026,-8.09649
0027,-9.64723
0028,-8.28366
0029,-9.91962
0030,-8.68609
0031,-9.32848
0032,-9.0798
0033,-9.94676
0034,-8.49206
0035,-8.65412
0036,-9.56412
0037,-8.83338
0038,-9.30068
0039,-9.64741
0040,-9.18913
0041,-9.57731
0042,-9.47813
0043,-9.00705
0044,-9.15735
0045,-9.36533
0046,-8.78544
0047,-8.93994
0048,-8.06891
0049,-7.97554
0050,-8.81544
0051,-8.88629
0052,-8.94051
0053,-8.52396
0054,-8.70198
0055,-9.23735
0056,-9.94973
0057,-8.61633
0058,-9.09081
0059,-8.43948
0060,-8.68211
0061,-8.36364
0062,-8.33269
0063,-8.15275
0064,-9.07633
0065,-9.04235
0066,-8.24425
0067,-8.76168
0068,-8.80061
0069,-8.80622
0070,-8.67186
0071,-9.25796
0072,-8.68448
0073,-9.1601
0074,-9.41493
0075,-8.85592
0076,-9.5437
0077,-9.11625
0078,-8.97313
0079,-8.8673
0080,-9.44086
0081,-7.68737
0082,-8.52606
0083,-7.94941
0084,-7.52498
0085,-8.52005
0086,-8.41149
0087,-7.44799
0088,-9.10641
0089,-8.34927
0090,-8.33904
0091,-8.07357
0092,-8.87724
0093,-9.78152
0094,-8.81123
0095,-9.16368
0096,-9.40925
0097,-8.00816
0098,-7.12363
0099,-8.73116
0100,-8.40515
0101,-7.86687
0102,-7.72773
0103,-7.71743
0104,-8.53767
0105,-7.85994
0106,-7.84595
0107,-9.31795
0108,-8.04979
0109,-8.2694
0110,-8.38674
0111,-8.16634
0112,-7.76549
0113,-8.31112
0114,-8.10701
0115,-8.72445
0116,-7.60725
0117,-8.30991
0118,-9.09967
0119,-8.6562
0120,-8.29279
0121,-8.04237
0122,-8.26401
0123,-8.17596
0124,-9.01818
0125,-9.38496
0126,-8.95579
0127,-9.53702
0128,-9.39602
0129,-7.95162
0130,-8.91168
0131,-9.23831
0132,-8.13061
0133,-7.84141
0134,-9.45175
0135,-9.57365
0136,-8.10406
0137,-8.42016
0138,-9.98389
0139,-10.32146
0140,-9.5164
0141,-9.56892
0142,-9.59776
0143,-9.35086
0144,-9.19953
0145,-9.76692
0146,-8.93014
0147,-9.41372
0148,-10.5373
0149,-9.05388
0150,-8.14064
0151,-9.8247
0152,-8.99214
0153,-8.81202
0154,-8.6564
0155,-9.26268
0156,-9.784
0157,-9.2461
0158,-9.76393
0159,-9.00076
0160,-9.55658
0161,-8.67166
0162,-8.48067
0163,-10.2571
0164,-9.27105
0165,-9.57343
0166,-9.50368
0167,-9.24333
0168,-9.59684
0169,-9.93836
0170,-9.02841
0171,-8.95235
0172,-9.28585
0173,-8.28125
0174,-9.07187
0175,-9.79408
0176,-8.56288
0177,-8.60001
0178,-9.23366
0179,-9.78506
0180,-8.69969
0181,-8.39036
0182,-9.29443
0183,-9.53635
0184,-9.08194
0185,-9.45557
0186,-9.29162
0187,-8.45253
0188,-8.76099
0189,-10.24244
0190,-9.86465
0191,-8.98358
0192,-8.73063
0193,-9.99815
0194,-9.68208
0195,-9.13414
0196,-9.29092
0197,-9.20157
0198,-8.68407
0199,-8.50545
0200,-8.41245
0201,-8.75444
0202,-8.54417
0203,-8.03055
0204,-9.12965
0205,-8.96462
0206,-8.81755
0207,-9.04151
0208,-8.66557
0209,-8.67398
