,0
0001,-9.52877
0002,-9.50562
0003,-9.50563
0004,-9.52512
0005,-9.52555
0006,-9.52518
0007,-9.50591
0008,-9.52604
0009,-9.51043
0010,-9.52402
0011,-9.39124
0012,-9.42214
0013,-9.32418
0014,-9.25314
0015,-9.50834
0016,-9.37263
0017,-9.3797
0018,-9.33807
0019,-9.50351
0020,-9.39337
0021,-9.52518
0022,-9.54311
0023,-9.53264
0024,-9.1722
0025,-9.19413
0026,-9.31582
0027,-9.25132
0028,-9.30785
0029,-8.95414
0030,-9.59704
0031,-9.31605
0032,-8.91264
0033,-9.54401
0034,-9.36801
0035,-9.42552
0036,-9.51875
0037,-9.70367
0038,-9.71813
0039,-9.196
0040,-8.97565
0041,-9.35832
0042,-9.29348
0043,-9.81949
0044,-8.92272
0045,-9.29761
0046,-9.21619
0047,-9.66035
0048,-9.46524
0049,-9.83706
0050,-9.53589
