,0
0001,-9.11287
0002,-9.11277
0003,-9.1128
0004,-9.1118
0005,-9.11175
0006,-9.11048
0007,-9.11027
0008,-9.10933
0009,-9.1095
0010,-9.10947
0011,-8.9055
0012,-8.92634
0013,-8.88581
0014,-8.908
0015,-9.11709
0016,-8.74899
0017,-8.93609
0018,-8.74545
0019,-8.96111
0020,-8.78683
0021,-9.05401
0022,-9.11868
0023,-8.96784
0024,-8.81248
0025,-8.89951
0026,-8.92564
0027,-8.85386
0028,-8.93702
0029,-8.57687
0030,-9.21667
0031,-8.55408
0032,-8.6377
0033,-9.07546
0034,-8.89638
0035,-8.69902
0036,-9.18076
0037,-9.16572
0038,-9.09916
0039,-8.75248
0040,-8.3979
0041,-8.67431
0042,-8.84848
0043,-9.17393
0044,-8.51371
0045,-8.60266
0046,-8.72236
0047,-9.11278
0048,-9.22283
0049,-9.16518
0050,-8.48793
